X:512,O:384,T:104
X:498,O:384,T:118
X:499,O:398,T:103
X:491,O:390,T:119
X:512,O:379,T:109
X:498,O:399,T:103
X:504,O:371,T:125
X:514,O:367,T:119
X:513,O:359,T:128
X:515,O:363,T:122
X:515,O:385,T:100
X:516,O:372,T:112
X:511,O:365,T:124
X:513,O:372,T:115
X:515,O:363,T:122
X:484,O:387,T:129
X:505,O:390,T:105
X:489,O:380,T:131
X:505,O:381,T:114
X:513,O:366,T:121
X:475,O:397,T:128
X:504,O:381,T:115
X:516,O:379,T:105
X:502,O:375,T:123
X:533,O:351,T:116
X:483,O:397,T:120
X:511,O:380,T:109
X:487,O:385,T:128
X:521,O:365,T:114
X:498,O:375,T:127
X:520,O:357,T:123
X:511,O:387,T:102
X:495,O:385,T:120
X:488,O:395,T:117
X:505,O:381,T:114
X:523,O:354,T:123
X:513,O:368,T:119
X:490,O:402,T:108
X:477,O:398,T:125
X:512,O:363,T:125
X:502,O:370,T:128
X:524,O:360,T:116
X:506,O:370,T:124
X:494,O:395,T:111
X:523,O:357,T:120
X:525,O:362,T:113
X:519,O:376,T:105
X:512,O:373,T:115
X:484,O:399,T:117
X:505,O:373,T:122
X:507,O:368,T:125
X:517,O:371,T:112
X:491,O:393,T:116
X:474,O:387,T:139
X:525,O:350,T:125
X:497,O:388,T:115
X:474,O:407,T:119
X:536,O:361,T:103
X:484,O:402,T:114
X:500,O:375,T:125
X:521,O:360,T:119
X:490,O:380,T:130
X:520,O:368,T:112
X:500,O:371,T:129
X:506,O:382,T:112
X:494,O:367,T:139
X:514,O:358,T:128
X:508,O:360,T:132
X:521,O:354,T:125
X:516,O:364,T:120
X:465,O:411,T:124
X:504,O:390,T:106
X:485,O:387,T:128
X:531,O:358,T:111
X:504,O:362,T:134
X:519,O:368,T:113
X:529,O:358,T:113
X:508,O:359,T:133
X:496,O:369,T:135
X:500,O:377,T:123
X:480,O:385,T:135
X:511,O:384,T:105
X:493,O:377,T:130
X:511,O:380,T:109
X:506,O:381,T:113
X:514,O:369,T:117
X:518,O:368,T:114
X:520,O:355,T:125
X:522,O:362,T:116
X:489,O:378,T:133
X:512,O:380,T:108
X:507,O:374,T:119
X:501,O:369,T:130
X:508,O:365,T:127
X:472,O:397,T:131
X:516,O:383,T:101
X:492,O:374,T:134
X:493,O:370,T:137
X:527,O:361,T:112
X:524,O:365,T:111
X:504,O:381,T:115
X:476,O:386,T:138
X:554,O:338,T:108
X:512,O:368,T:120
X:523,O:357,T:120
X:506,O:377,T:117
X:512,O:371,T:117
X:508,O:375,T:117
X:494,O:383,T:123
X:541,O:354,T:105
X:483,O:407,T:110
X:524,O:361,T:115
X:497,O:372,T:131
X:500,O:388,T:112
X:519,O:353,T:128
X:509,O:365,T:126
X:509,O:379,T:112
X:497,O:385,T:118
X:519,O:357,T:124
X:515,O:371,T:114
X:487,O:380,T:133
X:505,O:377,T:118
X:497,O:385,T:118
X:504,O:375,T:121
X:503,O:366,T:131
